close,high,low,open,volume,baseVolume,conversionType,conversionSymbol,datetime
9591.55,9637.0,9588.08,9615.29,2088.16,20071896.43,force_direct,,2020-07-24 21:00:00
9533.92,9593.46,9522.0,9591.55,2069.4,19770664.57,force_direct,,2020-07-24 22:00:00
9537.8,9552.44,9513.0,9533.92,1532.3,14612237.84,force_direct,,2020-07-24 23:00:00
9537.58,9554.27,9528.48,9537.8,1019.32,9727535.68,force_direct,,2020-07-25 00:00:00
9564.74,9570.0,9513.0,9537.58,984.35,9392955.46,force_direct,,2020-07-25 01:00:00
9571.8,9579.49,9558.79,9564.74,1256.87,12026593.23,force_direct,,2020-07-25 02:00:00
9581.58,9623.51,9571.79,9571.8,3007.71,28863112.73,force_direct,,2020-07-25 03:00:00
9584.81,9594.53,9566.56,9581.58,1057.78,10130446.06,force_direct,,2020-07-25 04:00:00
9587.29,9624.13,9566.55,9584.81,1710.5,16408873.14,force_direct,,2020-07-25 05:00:00
9589.01,9620.0,9579.29,9587.29,1314.99,12621430.09,force_direct,,2020-07-25 06:00:00
9568.5,9594.84,9564.82,9589.01,1220.41,11691738.43,force_direct,,2020-07-25 07:00:00
9585.37,9606.9,9560.93,9568.5,1535.17,14713552.58,force_direct,,2020-07-25 08:00:00
9569.38,9603.45,9563.0,9585.37,1360.27,13037853.66,force_direct,,2020-07-25 09:00:00
9581.7,9584.99,9559.84,9569.38,1329.95,12730899.33,force_direct,,2020-07-25 10:00:00
9574.29,9593.0,9572.84,9581.7,921.05,8828247.84,force_direct,,2020-07-25 11:00:00
9603.79,9606.0,9568.16,9574.29,1385.32,13286881.64,force_direct,,2020-07-25 12:00:00
9582.22,9610.92,9552.29,9603.79,2070.92,19848591.46,force_direct,,2020-07-25 13:00:00
9584.3,9594.01,9568.0,9582.22,1099.92,10539113.5,force_direct,,2020-07-25 14:00:00
9593.19,9598.41,9575.13,9584.3,1143.67,10967550.06,force_direct,,2020-07-25 15:00:00
9615.51,9630.0,9573.61,9593.19,2357.88,22639746.14,force_direct,,2020-07-25 16:00:00
9688.49,9708.81,9608.19,9615.51,4939.57,47751306.79,force_direct,,2020-07-25 17:00:00
9665.02,9708.26,9636.09,9688.49,2106.06,20352937.14,force_direct,,2020-07-25 18:00:00
9674.14,9685.5,9648.68,9665.02,1212.32,11726038.01,force_direct,,2020-07-25 19:00:00
9713.89,9730.19,9671.73,9674.14,2801.63,27180315.22,force_direct,,2020-07-25 20:00:00
9694.96,9732.9,9675.22,9713.89,1463.99,14197427.66,force_direct,,2020-07-25 21:00:00
9704.68,9708.57,9682.64,9694.96,1547.2,15001132.82,force_direct,,2020-07-25 22:00:00
9700.42,9724.48,9668.88,9704.68,1832.67,17767417.06,force_direct,,2020-07-25 23:00:00
9682.56,9704.08,9662.51,9700.42,1484.67,14374083.81,force_direct,,2020-07-26 00:00:00
9664.71,9689.75,9650.0,9682.56,1892.35,18293115.46,force_direct,,2020-07-26 01:00:00
9669.84,9683.42,9653.85,9664.71,943.22,9119766.47,force_direct,,2020-07-26 02:00:00
9677.69,9687.8,9663.84,9669.84,952.84,9222563.23,force_direct,,2020-07-26 03:00:00
9668.47,9680.0,9660.35,9677.69,868.89,8403054.73,force_direct,,2020-07-26 04:00:00
9678.1,9688.9,9664.18,9668.47,943.87,9133771.06,force_direct,,2020-07-26 05:00:00
9698.77,9701.0,9672.59,9678.1,1266.9,12273123.11,force_direct,,2020-07-26 06:00:00
9716.54,9736.0,9683.97,9698.77,2689.33,26103390.92,force_direct,,2020-07-26 07:00:00
9770.04,9788.88,9702.97,9716.54,4049.75,39452024.04,force_direct,,2020-07-26 08:00:00
9838.97,9845.0,9745.0,9770.04,4462.26,43665952.49,force_direct,,2020-07-26 09:00:00
10004.0,10111.0,9837.58,9838.97,16124.32,160943338.45,force_direct,,2020-07-26 10:00:00
9970.87,10006.0,9950.0,10004.0,3658.18,36485981.11,force_direct,,2020-07-26 11:00:00
